estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL ZEM CAN RULL-PACO HERRERA (1);CAN RULL ROMULO TRONCHONI, CFU B;Sabadell 14 (Can Rull Nord - Via Alexandra);Sabadell;Can Rull Nord - Via Alexandra
CAMP DE FUTBOL MPAL. MAS IGLESIAS;MAS PELLICER, U.D.C. B;Mas de Barberans;Mas de Barberans;Mas de Barberans
CAMP DE FUTBOL ZEM CAN ROSÉS (1);RUBI, U.E. B;Roses;Roses;Roses
CAMP DE FUTBOL MPAL. CAN DEU;PLANADEU-ROUREDA UNIÓ  ESPORTIVA FUTBOL;Sabadell 12 (la Roureda - Sant Julià);Sabadell;la Roureda - Sant Julià
CAMP DE FUTBOL MPAL. DE SANT FOST DE CAMPSENTELLES;SANT FOST , U.E. B;Sant Fost de Campsentelles;Sant Fost de Campsentelles;Sant Fost de Campsentelles
CAMP DE FUTBOL CEM FORT-PIENC;Pª BARC. CINC COPES B;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL CEM DE CABRILS;CABRILS, C.E. B;Cabrils;Cabrils;Cabrils
CAMP DE FUTBOL MPAL. DE SANT ESTEVE SESROVIRES;SANT ESTEVE SESROVIRES, F.C. A;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga
CAMP DE FUTBOL MPAL. VALL D´HEBRON;ESCOLA DE FUTBOL PREMIER BARCELONA C;Barcelona;Barcelona;Barcelona
CAMP DE FUTBOL MPAL. DE CORBERA DE LLOBREGAT;CORBERA , C.F. B;Corbera d'Ebre;Corbera d'Ebre;Corbera d'Ebre
CAMP DE FUTBOL MPAL. DE SANT LLORENÇ D´HORTONS;HORTONENC, F.C. A;Llorenç del Penedès;Llorenç del Penedès;Llorenç del Penedès
CAMP DE FUTBOL CIUTAT ESPORTIVA GIMNÀSTIC DE TARRAGONA 2 2 Camps;GIMNASTIC TARRAGONA, C. C;Tarragona;Tarragona;Tarragona
CAMP DE FUTBOL ZEM CASC ANTIC;ESCOLA DE FUTBOL VILADECAVALLS, C. A;Valls;Valls;Valls
CAMP DE FUTBOL MPAL. LA FORJA CAMP-REDÓ;CAMPREDO, U.D.;Tortosa;Tortosa;Tortosa
CAMP DE FUTBOL MPAL. DE VILANOVA DEL VALLÈS;VILANOVA VALLES,C.F. A;Vilanova d'Escornalbou;Vilanova d'Escornalbou;Vilanova d'Escornalbou
CAMP DE FUTBOL MPAL. DE LA BORDETA;BORDETA DE LLEIDA, U.E. A;Lleida;Lleida;Lleida
No especificado;COSTA DAURADA FC A;Salou;Salou;Salou
No especificado;CASTELLDEFELS, U.E. A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. PARE IGNASI PUIG;PARE IGNASI PUIG, C.F. A;Manresa 9 (les Escodines - la Balconada - Cal Gravat - Sant Pau);Manresa;les Escodines - la Balconada - Cal Gravat - Sant Pau
CAMP DE FUTBOL IEM DEL VILAR;AT.VALLS , C.F. A;Valls;Valls;Valls
CAMP DE FUTBOL CLUB JUNIOR, F.C.;JUNIOR,C.F. B;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL MPAL. FRANCESC SERRACANTA;ASS.ESP.F.BASE PALAU 2024,  A;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL MPAL. DE CORRÓ D´AVALL;BELLAVISTA MILAN, C. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. CAN DEU;PLANADEU-ROUREDA UNIÓ ESPORTIVA FUTBOL A;Sabadell 12 (la Roureda - Sant Julià);Sabadell;la Roureda - Sant Julià
CAMP DE FUTBOL MPAL. DE LA BORDETA;BORDETA DE LLEIDA, U.E. B;Lleida;Lleida;Lleida
CAMP DE FUTBOL MPAL. DE CORNELLÀ DE LLOBREGAT;FUNDACIO UNIO ESPORTIVA CORNELLA A;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
CAMP DE FUTBOL MPAL. JOSEP PONS I VENTURA;CUBELLES, C.F. A;Cubelles;Cubelles;Cubelles
CAMP DE FUTBOL MPAL. DE LES ARENES;JUAN XXIII,C.S. A;Terrassa 22 (les Arenes - la Grípia - Can Montllor);Terrassa;les Arenes - la Grípia - Can Montllor
CAMP DE FUTBOL CEM CAN CASABLANQUES;SANT QUIRZE VALLES, F.C. A;Sant Quirze de Besora;Sant Quirze de Besora;Sant Quirze de Besora
CAMP DE FUTBOL ZEM LES FONTETES;CERDANYOLA VALLES, F.C.  C;Cerdanyola del Vallès;Cerdanyola del Vallès;Cerdanyola del Vallès
CAMP DE FUTBOL MPAL. JOAN CORTIELLA-CAN SERRADOR;CASTELLAR, UNIÓ ESPORTIVA A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. JOSEP SEGUER;PARETS, C.F. B;Parets del Vallès;Parets del Vallès;Parets del Vallès
CAMP DE FUTBOL MPAL. TONI BUCH;SANTVICENTI CLUB FUTBOL A;Sant Vicenç de Montalt;Sant Vicenç de Montalt;Sant Vicenç de Montalt
CAMP DE FUTBOL MPAL. ANTONIO ORTEGA PAREJO;COL.LEGI S.PAU APOSTOL ESP.APA C;Sant Antoni de Vilamajor;Sant Antoni de Vilamajor;Sant Antoni de Vilamajor
CAMP DE FUTBOL MPAL. DE PARDINYES;PARDINYES C.F. B;Lleida 9 (Pardinyes);Lleida;Pardinyes
CAMP DE FUTBOL ZEM TOMÀS CLARAMUNT (Abans la Muntanyeta);CALELLA, C.F. A;Alella;Alella;Alella
No especificado;SARRIA TER, C.F. B;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL CLUB GIMNÀSTIC PARC;GIMNASTIC MANRESA C. B;Manresa;Manresa;Manresa
CAMP DE FUTBOL MPAL. PAS BLAU;LA POBLA CLARAMUNT, C.F. A;Pobla de Cérvoles, la;La Pobla de Cérvoles;La Pobla de Cérvoles
CAMP DE FUTBOL MPAL. CAN PAHISSA;GUALBA, F.C.  A;Gualba;Gualba;Gualba
CAMP DE FUTBOL MPAL. D'AIGUADOLÇ;SITGES, U.E. A;Sitges;Sitges;Sitges
CAMP DE FUTBOL MPAL. PLÀ DEL BONAIRE;CAN PARELLADA, C.D. B;Pla de Santa Maria, el;El Pla de Santa Maria;El Pla de Santa Maria
No especificado;ALDEANA, U.E. B;Aldea, l';L'Aldea;L'Aldea
CAMP DE FUTBOL MPAL. NOVA CIUTAT ESPORTIVA BLANES;BLANES, C.D. B;Blanes;Blanes;Blanes
CAMP DE FUTBOL CEM SANT OLEGUER;SABADELL ATLETIC , ASSOC. ESP. P.R A;Sabadell;Sabadell;Sabadell
CAMP DE FUTBOL CE DE L´ENERGIA;MERCAT NOU MAGÒRIA, S.E. CLUB A;Barcelona 62 (Santa Maria de Sants);Barcelona;Santa Maria de Sants
CAMP DE FUTBOL MPAL. PUBILLA CASAS;FUNDACIÓ ACADÈMIA F. L'HOSPITALET  B;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
No especificado;VILASECA C.F. A;Desconocido;Desconocido;Desconocido
No especificado;SANT CELONI, FUTBOL CLUB;Sant Celoni;Sant Celoni;Sant Celoni
CAMP DE FUTBOL IEM LA ROMÀNICA;LA ROMANICA, C.F. A;Barberà del Vallès;Barberà del Vallès;Barberà del Vallès
CAMP DE FUTBOL MPAL. LA COMA;CONSTANTI, C.E. A;Coma i la Pedra, la;La Coma i la Pedra;La Coma i la Pedra
CAMP DE FUTBOL MPAL. CA N´ANGLADA;SAN CRISTOBAL, C.P. C;Terrassa 6 (Ca n'Anglada);Terrassa;Ca n'Anglada
No especificado;ROSES CITY FUTBOL CLUB  A;Roses;Roses;Roses
CAMP DE FUTBOL ZEM DE RIPOLLET;RIPOLLET, C.F. C;Ripollet 1 (Centre - Maragall);Ripollet;Centre - Maragall
CAMP DE FUTBOL MPAL. DE PERALADA;PERALADA, C.F. B;Peralada;Peralada;Peralada
CAMP DE FUTBOL MPAL. CA N´ANGLADA;SAN CRISTOBAL, C.P. B;Terrassa 6 (Ca n'Anglada);Terrassa;Ca n'Anglada
CAMP DE FUTBOL MPAL. CAN PUIGGENER;OAR GRÀCIA SBD E.F. A;Sabadell 18 (Gràcia);Sabadell;Gràcia
CAMP DE FUTBOL MPAL. DE CALAFELL;ESCOLA FUTBOL BASE CALAFELL CF A;Calaf;Calaf;Calaf
CAMP DE FUTBOL MPAL. LA SATÀLIA;APA POBLE SEC, CE. B;Barcelona 48 (Santa Madrona, la Satàlia i Montjuïc);Barcelona;Santa Madrona, la Satàlia i Montjuïc
CAMP DE FUTBOL MPAL. DE SANT GREGORI;SANT GREGORI, A.E. B;Sant Gregori;Sant Gregori;Sant Gregori
CAMP DE FUTBOL MPAL. DE VILADECANS;VILADECANS U.D. C;Viladecans;Viladecans;Viladecans
CAMP DE FUTBOL CEM JULIO MÉNDEZ;FUNDACIO PRIVADA ASSOC. ESP. PRAT  A;Prat de Comte;Prat de Comte;Prat de Comte
CAMP DE FUTBOL MPAL. DE VALLIRANA;VALLIRANA C.F. A;Vallirana;Vallirana;Vallirana
CAMP DE FUTBOL CEM CAN ZAM (2);SINGUERLÍN, C.F. A;Santa Coloma de Gramenet 7 (Singuerlin - Can Zam);Santa Coloma de Gramenet;Singuerlin - Can Zam
CAMP DE FUTBOL ESCOLA INDUSTRIAL;Pª BARC. ANGUERA B;Barcelona 35 (l'Escola Industrial);Barcelona;l'Escola Industrial
CAMP DE FUTBOL CLUB NATACIÓ TERRASSA;NATACIO TERRASSA, C B;Terrassa;Terrassa;Terrassa
CAMP DE FUTBOL MPAL. DE LLIÇÀ DE VALL;LLIÇA DE VALL C.F. B;Lliçà d'Amunt;Lliçà d'Amunt;Lliçà d'Amunt
CAMP DE FUTBOL MPAL. ANTONI SERRA I PUJOL;BARBERÀ CLUB DE FUTBOL  C;Barberà de la Conca;Barberà de la Conca;Barberà de la Conca
CAMP DE FUTBOL CEM MARESME;POBLE NOU ,AT. B;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell
No especificado;CAN VIDALET, C.F. C;Esplugues de Llobregat 2 (Can Vidalet);Esplugues de Llobregat;Can Vidalet
CAMP DE FUTBOL ESCOLA ESPORTIVA BRAFA;ESCOLA E.BRAFA B;Barcelona 142 (Santa Engràcia);Barcelona;Santa Engràcia
CAMP DE FUTBOL CEM LES COMES  2 Camps;ATENEU IGUALADI, S.E.F. A;Igualada;Igualada;Igualada
No especificado;HOSPITALENSE, AT.C. B;Hospitalet de Llobregat 3 (Centre - la Farga), l';Hospitalet de Llobregat;Centre - la Farga
CAMP DE FUTBOL CEM SAGNIER;PRAT, A.E. B;Prat de Comte;Prat de Comte;Prat de Comte
CAMP DE FUTBOL MPAL. CAN BUXERES;CAN BUXERES, F.C. C;Hospitalet de Llobregat 16 (Collblanc - Cementiri - Carretera), l';Hospitalet de Llobregat;Collblanc - Cementiri - Carretera
CAMP DE FUTBOL CEM FORT-PIENC;GUINARDÓ, C.F. A;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL MPAL. DE SANT JUST DESVERN;SANT JUST DESVERN CLUB FUTBOL A;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
CAMP DE FUTBOL MPAL. MAS IGLESIAS;LA SALLE REUS, AGRUPACIO ESPORTIVA  A;Mas de Barberans;Mas de Barberans;Mas de Barberans
CAMP DE FUTBOL MPAL. LA FEIXA LLARGA;UNIFICACION BELLVITGE, U.D. C;Hospitalet de Llobregat 29 (Bellvitge - Estació), l';Hospitalet de Llobregat;Bellvitge - Estació
CAMP DE FUTBOL MPAL. LUIS GONZÁLEZ BAEZA;LA FLORIDA C.F. B;Hospitalet de Llobregat 10 (la Florida - Plaça de la Llibertat), l';Hospitalet de Llobregat;la Florida - Plaça de la Llibertat
CAMP DE FUTBOL COL·LEGI PARE MANYANET DE REUS;PARE MANYANET, A.E. B;Reus;Reus;Reus
CAMP DE FUTBOL MPAL. REDDIS;SANTES CREUS CLUB ESP. C;Reus;Reus;Reus
No especificado;SALOU, U.D. C;Salou;Salou;Salou
CAMP DE FUTBOL IEM LA ROMÀNICA;BARBERÀ CLUB DE FUTBOL  D;Barberà del Vallès;Barberà del Vallès;Barberà del Vallès
CAMP DE FUTBOL ZEM BUFALÀ;BUFALÀ, C.F. B;Badalona 25 (Bufalà Oest - sector Can Barriga);Badalona;Bufalà Oest - sector Can Barriga
CAMP DE FUTBOL MPAL. ESPORTIU PITORT;CASTELLDEFELS, U.E. B;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL MPAL. LA FERRERIA;BASE MONTCADA CLUB FUTBOL  C;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac
CAMP DE FUTBOL MPAL. ARRAHONA-MERINAL-JOAN MURTRO;MARINA-ESCOLA DE FUTBOL JOAN MURTRO  A;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses
CAMP DE FUTBOL MPAL. PERE GOL;FUNDACIÓ FUTBOL BADALONA C;Badalona;Badalona;Badalona
CAMP DE FUTBOL MPAL. ALMEDA;FUNDACIO UNIO ESPORTIVA CORNELLA C;Cornellà de Llobregat 9 (Almeda);Cornellà de Llobregat;Almeda
No especificado;FUNDACIÓ ESPORTIVA GRAMA C;Santa Coloma de Gramenet;Santa Coloma de Gramenet;Santa Coloma de Gramenet
CAMP DE FUTBOL MPAL. DE SANT JUST DESVERN;FUNDACIO ATLETIC SANT JUST  C;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
CAMP DE FUTBOL MPAL. DEL CENTENARI;ESCOLA FUTBOL MATARO C.E C;Mataró;Mataró;Mataró
CAMP DE FUTBOL COL·LEGI PARE MANYANET DE REUS;PARE MANYANET, A.E. A;Reus;Reus;Reus
CAMP DE FUTBOL CEM LA GUINEUETA;ESCOLA ESPORTIVA GUINEUETA C.F  B;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
CAMP DE FUTBOL CEM CAN ZAM (1);ARRABAL-CALAF GRAMANET C.D. D;Santa Coloma de Gramenet;Santa Coloma de Gramenet;Santa Coloma de Gramenet
CAMP DE FUTBOL MPAL. CAN MAGÍ;Pª BLAUGRANA SANT CUGAT C;Sant Cugat del Vallès;Sant Cugat del Vallès;Sant Cugat del Vallès
CAMP DE FUTBOL ZEM CAN CABANYES;SISTRELLS C.F. B;Badalona 18 (Sistrells);Badalona;Sistrells
CAMP DE FUTBOL MPAL. MION-PUIGBERENGUER;PIRINAICA, F.C. C;Manresa 5 (el Poble Nou - Mion, Puigberenguer i Miralpeix);Manresa;el Poble Nou - Mion, Puigberenguer i Miralpeix
CAMP DE FUTBOL CEM ARISTIDES MAILLOL;PENYA BARC. COLLBLANC SANTS,AE B;Hospitalet de Llobregat 15 (Collblanc - Centre - Vallparda), l';Hospitalet de Llobregat;Collblanc - Centre - Vallparda
CAMP DE FUTBOL CEM CAN DRAGO;CONGRÉS CLUB ESP. A;Barcelona 130 (Can Dragó);Barcelona;Can Dragó
CAMP DE FUTBOL MPAL. CASABLANCA;CASABLANCA , F.C. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE CORNELLÀ DE LLOBREGAT;FUNDACIO UNIO ESPORTIVA CORNELLA  A;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
CAMP DE FUTBOL MPAL. PARC CATALANA;BARCELONETA, C.F. B;Barcelona 10 (Sant Miquel del Port);Barcelona;Sant Miquel del Port
CAMP DE FUTBOL MPAL. DE SANT PERE I SANT PAU;ESCUELA F.SAN PEDRO SAN PABLO B;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries
CAMP DE FUTBOL MPAL. DE SUNYER;SUNYER, C.F.;Sunyer;Sunyer;Sunyer
CAMP DE FUTBOL MPAL. DE FONDARELLA;ESCOLA DE FUTBOL MASCANÇA A;Fondarella;Fondarella;Fondarella
CAMP DE FUTBOL MPAL. DEL CENTENARI-AISS;SANT ANDREU, U.E C;Sant Andreu de la Barca;Sant Andreu de la Barca;Sant Andreu de la Barca
CAMP DE FUTBOL MPAL. L'ÀLIGA;EUROPA, C.E. C;Barcelona 103 (Joanic);Barcelona;Joanic
No especificado;ODENA, C.E. B;Òdena;Òdena;Òdena
CAMP DE FUTBOL MPAL. OLÍMPIA;SABADELL F.C., C.E. C;Sabadell;Sabadell;Sabadell
No especificado;FUNDACIO E. ATLETIC VILAFRANCA C;Vilafranca del Penedès;Vilafranca del Penedès;Vilafranca del Penedès
CAMP DE FUTBOL ZEM CAN JOFRESA;UNIO F. BASE JABAC I TERRASSA C;Terrassa 9 (Can Jofresa - Can Palet II - Guadalhorce - Xúquer);Terrassa;Can Jofresa - Can Palet II - Guadalhorce - Xúquer
CAMP DE FUTBOL MPAL. LA SATÀLIA;APA POBLE SEC, CE. C;Barcelona 48 (Santa Madrona, la Satàlia i Montjuïc);Barcelona;Santa Madrona, la Satàlia i Montjuïc
CAMP DE FUTBOL MPAL. DE CALLDETENES;RIUDEPERES C.F. AT. A;Calldetenes;Calldetenes;Calldetenes
CAMP DE FUTBOL COL·LEGI XALOC;LES CORTS DE BARCELONA CLUB ESP. B;Hospitalet de Llobregat 26 (Santa Eulàlia - Centre Sud - Ciutat de la Justícia), l';Hospitalet de Llobregat;Santa Eulàlia - Centre Sud - Ciutat de la Justícia
CAMP DE FUTBOL MPAL. LUIS GONZÁLEZ BAEZA;ALBIRROJITA DE CATALUNYA ASSOCIACIO CLUB SOCIAL A;Catalunya;Catalunya;Catalunya
CAMP DE FUTBOL CEM FORT-PIENC;Pª BARC. CINC COPES A;Barcelona 15 (el Fort Pienc);Barcelona;el Fort Pienc
CAMP DE FUTBOL CEM MUNDET (1);CATALONIA, U.B. C;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL SCHOOL EUROPA INTERNATIONAL;SANT CUGAT FUTBOL CLUB D;Sant Cugat del Vallès;Sant Cugat del Vallès;Sant Cugat del Vallès
CAMP DE FUTBOL IEM DEL VILAR;ESCOLA VALLS FUTBOL CLUB A;Valls;Valls;Valls
CAMP DE FUTBOL MPAL. LA SATÀLIA;OUSADIA, FUTBOL  CLUB  A;Barcelona 48 (Santa Madrona, la Satàlia i Montjuïc);Barcelona;Santa Madrona, la Satàlia i Montjuïc
CAMP DE FUTBOL COL·LEGI SANT IGNASI;SANT IGNASI C.E. A;Barcelona 79 (la Bonanova, la Torre Vilana i l'Avinguda del Tibidabo);Barcelona;la Bonanova, la Torre Vilana i l'Avinguda del Tibidabo
CAMP DE FUTBOL COL·LEGI VIARÓ;D'ARAN CLUB  ASSOCIACIÓ CULTURAL  B;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL MPAL. DE BORRASSÀ;BORRASSA, F.C. A;Borrassà;Borrassà;Borrassà
CAMP DE FUTBOL COL·LEGI VIARÓ;D'ARAN CLUB  ASSOCIACIÓ CULTURAL  A;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL MPAL. DE BADALONA SUD;SAN LORENZO CATALUNYA A;Badalona;Badalona;Badalona
CAMP DE FUTBOL MPAL. DE LES PLANES (SANT JOAN DESPÍ);SANT JOAN DESPI-SAN PANCRACIO, FUTBOL CLUB  B;Planes d'Hostoles, les;Les Planes d'Hostoles;Les Planes d'Hostoles
CAMP DE FUTBOL MPAL. SANTA EULÀLIA;FUNDACIÓ ACADEMIA F. L'HOSPITALET  C;Hospitalet de Llobregat, l';L'Hospitalet de Llobregat;L'Hospitalet de Llobregat
CAMP DE FUTBOL MPAL. DE MATADEPERA;MATADEPERENC, ATHLETIC A;Matadepera;Matadepera;Matadepera
CAMP DE FUTBOL MPAL. CAMP DE LA VILA;FEC VALL DEL TER A;Vall d'en Bas, la;La Vall d'en Bas;La Vall d'en Bas
CAMP DE FUTBOL MPAL. SANT ILDEFONS;SANT ILDEFONS, U.E. C;Cornellà de Llobregat 6 (Sant Ildefons Oest);Cornellà de Llobregat;Sant Ildefons Oest
CAMP DE FUTBOL CEM ESTRUCH;TERLENKA BARCELONISTA C. F. B;Sant Celoni;Sant Celoni;Sant Celoni
CAMP DE FUTBOL MPAL. DE SANT JUST DESVERN;FUNDACIO ATLETIC SANT JUST  B;Sant Just Desvern;Sant Just Desvern;Sant Just Desvern
CAMP DE FUTBOL MPAL. RAMON FARRÚS;CLUB ESPORTIU ATLETIC LLEIDA  B;Lleida;Lleida;Lleida
CAMP DE FUTBOL COMPLEX ESPORTIU ANTONI PALAU;MIG SEGRIA, C.E. B;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL MPAL. DEL CENTRE HISTÒRIC;ESPLAIS, C.F. A;Castelló d'Empúries;Castelló d'Empúries;Castelló d'Empúries
CAMP DE FUTBOL MPAL. DE MONT-ROIG DEL CAMP;MONT-ROIG AT. A;Mont-roig del Camp;Mont-roig del Camp;Mont-roig del Camp
CAMP DE FUTBOL MPAL. TEIXONERA;ESCOLA DE FUTBOL STOITCHKOV-RACING SARRIÀ  C;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
No especificado;AMPOSTA, C.F. C;Amposta;Amposta;Amposta
CAMP DE FUTBOL MPAL. LA PLANA - CERVELLÓ;Pª BLAUGRANA CERVELLO A;Cervelló;Cervelló;Cervelló
CAMP DE FUTBOL ZEM CAN TORELLÓ (Gavà);ESCOLA F. GAVA, C. B;Gavà;Gavà;Gavà
No especificado;LLINARS, C.E. B;Llinars del Vallès;Llinars del Vallès;Llinars del Vallès
CAMP DE FUTBOL ZEM CAN TORELLÓ (Gavà);GAVA, C.F. A;Gavà;Gavà;Gavà
CAMP DE FUTBOL COL·LEGI XALOC;ASSOCIACIO ANTICS ALUMNES DE XALOC  A;Hospitalet de Llobregat 26 (Santa Eulàlia - Centre Sud - Ciutat de la Justícia), l';Hospitalet de Llobregat;Santa Eulàlia - Centre Sud - Ciutat de la Justícia
CAMP DE FUTBOL CE DE L´ENERGIA;SANTS, U.E. B;Barcelona 62 (Santa Maria de Sants);Barcelona;Santa Maria de Sants
CAMP DE FUTBOL MPAL. DE CAMALLERA;CAMALLERA, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE GELIDA;GELIDA, C.F. A;Gelida;Gelida;Gelida
CAMP DE FUTBOL MPAL. DEL PLA DE SANTA MARIA;ESCOLA F. EL PLA DE SANTA MARIA A;Pla de Santa Maria, el;El Pla de Santa Maria;El Pla de Santa Maria
CAMP DE FUTBOL MPAL. DE CASTELL D´ARO;ARO, C.E. A;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró;Castell d'Aro, Platja d'Aro i s'Agaró
CAMP DE FUTBOL CEM CAN CARALLEU;SARRIA, C.P. B;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL CLUB CENTRE ESPORTIU VEDRUNA;UNIÓ GIRONA A.C.E. C;Girona;Girona;Girona
CAMP DE FUTBOL MPAL. JOAN BUSÓ;FORNELLS, UE. A;Fornells de la Selva;Fornells de la Selva;Fornells de la Selva
CAMP DE FUTBOL MPAL. DE PIERA;PIERA, A.E. A;Piera;Piera;Piera
CAMP DE FUTBOL MPAL. JOSEP RAICH;MOLINS DE REI, C.F. B;Molins de Rei;Molins de Rei;Molins de Rei
CAMP DE FUTBOL MPAL. LA CUITORA;LA LLACUNA, C.F. A;Llacuna, la;La Llacuna;La Llacuna
CAMP DE FUTBOL CEM CAN XAUBET;AQUA HOTEL FUTBOL CLUB B;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. LA FERRERIA;MONTCADA, C.D A;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac
CAMP DE FUTBOL MPAL. NOU SARDENYA;EUROPA, C.E. C;Barcelona 103 (Joanic);Barcelona;Joanic
CAMP DE FUTBOL MPAL. SERGIO BUSQUETS BURGOS;BADIA DEL VALLES, C.D. B;Badia del Vallès;Badia del Vallès;Badia del Vallès
CAMP DE FUTBOL COL·LEGI MONTESSORI-PALAU;MONTESSORI-PALAU, C.C.E. A;Palau d'Anglesola, el;El Palau d'Anglesola;El Palau d'Anglesola
CAMP DE FUTBOL MPAL. DE SANT JOAN LES FONTS;SANTJOANENC, C.P. A;Terrassa 10 (Can Parellada - les Fonts);Terrassa;Can Parellada - les Fonts
CAMP DE FUTBOL MPAL. CANYELLES  (EL GARRAF);CANYELLES ASSOC. ESP. CF. A;Canyelles;Canyelles;Canyelles
CAMP DE FUTBOL MPAL. ANTONI MATEU;MORA LA NOVA, AT. A;Móra d'Ebre;Móra d'Ebre;Móra d'Ebre
CAMP DE FUTBOL MPAL. DE LA POBLA DE SEGUR;ESCOLA F. POBLA SEGUR I COMARCA;Marçà;Marçà;Marçà
CAMP DE FUTBOL MPAL. DE MONTGAT;FUNDACIÓ ESPORTIVA MONTGAT B;Montgat;Montgat;Montgat
CAMP DE FUTBOL MPAL. SANT GENÍS;SANT GENIS-PENITENTES, C.D. A;Barcelona 120 (Sant Genís dels Agudells);Barcelona;Sant Genís dels Agudells
CAMP DE FUTBOL MPAL. LA FEIXA LLARGA;UNIFICACION BELLVITGE, U.D. B;Hospitalet de Llobregat 29 (Bellvitge - Estació), l';Hospitalet de Llobregat;Bellvitge - Estació
CAMP DE FUTBOL MPAL. LES GUIXERES;COMACROS, UE A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. DE BONAVISTA;RACING CLUB FUTBOL BONAVISTA A;Tarragona;Tarragona;Tarragona
CAMP DE FUTBOL MPAL. DE RIUDELLOTS DE LA SELVA;RIUDELLOTS CLUB ESPORTIU  A;Riudellots de la Selva;Riudellots de la Selva;Riudellots de la Selva
CAMP DE FUTBOL ZEM DE L´ALBI;ALBI, C.F. A;Albi, l';L'Albi;L'Albi
CAMP DE FUTBOL MPAL. GERMANS GONZALVO (1);MOLLET U.E.,CF. A;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada
CAMP DE FUTBOL MPAL. DE TORRELLES DE FOIX;TORRELLENC, C.E. A;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
CAMP DE FUTBOL MPAL. POBLE NOU;PUEBLO NUEVO-2002, C.F. B;Nou de Berguedà, la;La Nou de Berguedà;La Nou de Berguedà
CAMP DE FUTBOL MPAL. DEL PAPIOL;PAPIOL, U.E. A;Papiol, el;El Papiol;El Papiol
CAMP DE FUTBOL IEM DE CARME;CARME, C.E. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. LA MAURINA;MAURINA EGARA, C.F. A;Terrassa 15 (la Maurina);Terrassa;la Maurina
