estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL MPAL. ANTONI SERRA I PUJOL;BARBERÀ CLUB DE FUTBOL  B;Barberà de la Conca;Barberà de la Conca;Barberà de la Conca
No especificado;ESCOLA FUTBOL BASE GUISSONA A;Guissona;Guissona;Guissona
CAMP DE FUTBOL ZEM DE ROQUETES ANNEX;ROQUETENC, C.D. B;Roquetes;Roquetes;Roquetes
CAMP DE FUTBOL MPAL. ALFONS GONFAUS;AVIA, U.E. B;Avià;Avià;Avià
CAMP DE FUTBOL COL·LEGI BELL-LLOC;BELL LLOC, C.P. A;Bell-lloc d'Urgell;Bell-lloc d'Urgell;Bell-lloc d'Urgell
CAMP DE FUTBOL MPAL. LA VINYASSA;BASE ROSES, C.F. A;Roses;Roses;Roses
CAMP DE FUTBOL CEM LA GUINEUETA;ESCOLA ESPORTIVA GUINEUETA C.F A;Barcelona 135 (la Guineueta);Barcelona;la Guineueta
CAMP DE FUTBOL MPAL. PALASTADIUM LLUÍS MONER;PALAFOLLS, C.D. A;Palafolls;Palafolls;Palafolls
CAMP DE FUTBOL MPAL. NOU DE BANYOLES;BANYOLES, C.E. A;Banyoles;Banyoles;Banyoles
CAMP DE FUTBOL MPAL. VILA-ROJA;FUNDACIO FUTUR GIRONAEST A;Girona;Girona;Girona
CAMP DE FUTBOL MPAL. PALASTADIUM LLUÍS MONER;PALAFOLLS, C.D. B;Palafolls;Palafolls;Palafolls
CAMP DE FUTBOL MPAL. DE GARRIGUELLA;GARRIGUELLA,C.E. A;Garriguella;Garriguella;Garriguella
CAMP DE FUTBOL MPAL. EL GREGAL;LA PUNXA , CLUB DE FUTBOL  A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. CAN GIBERT;SANTA EUGÈNIA CLUB FUTBOL A;Girona;Girona;Girona
CAMP DE FUTBOL MPAL. DE CABANES;CABANES, U.E. A;Cabanes;Cabanes;Cabanes
CAMP DE FUTBOL MPAL. LES PRESES;LES PRESES, C.F. A;Preses, les;Les Preses;Les Preses
CAMP DE FUTBOL MPAL. DEL PLA DE BARRA;TERRES DE L'EBRE, C.F. B;Pla de Santa Maria, el;El Pla de Santa Maria;El Pla de Santa Maria
CAMP DE FUTBOL MPAL. DE CORNELLÀ DE LLOBREGAT;FUNDACIO UNIO ESPORTIVA CORNELLA B;Cornellà de Llobregat;Cornellà de Llobregat;Cornellà de Llobregat
CAMP DE FUTBOL MPAL. ESPORTIU PITORT;HUMAES ESPORTS, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. TORRE-ROJA;ATHLETIC VILADECANS FUTBOL CLUB A;Torre de Cabdella, la;La Torre de Cabdella;La Torre de Cabdella
CAMP DE FUTBOL MPAL. POBLENOU-AGAPITO FERNÁNDEZ;VILA OLIMPICA CLUB ESP. B;Barcelona 172 (la Vila Olímpica i el Bogatell);Barcelona;la Vila Olímpica i el Bogatell
CAMP DE FUTBOL MPAL. DANI JARQUE CIUTAT COOPERATIVA;CIUDAD COOPERATIVA, C.F. A;Sant Boi de Llobregat 11 (Ciutat Cooperativa);Sant Boi de Llobregat;Ciutat Cooperativa
CAMP DE FUTBOL MPAL. CA N´ORIAC;SABADELL NORD,CF. A;Sabadell 10 (Ca n'Oriac - Torreguitart - Torrent del Capellà);Sabadell;Ca n'Oriac - Torreguitart - Torrent del Capellà
CAMP DE FUTBOL COL·LEGI SAGRAT COR SARRIÀ;COL.LEGI SAGRAT COR SARRIA AMPA A;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
CAMP DE FUTBOL CLUB JUNIOR, F.C.;JUNIOR,C.F. C;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL MPAL. SANTA AGNÈS;Pª BLAUGRANA DE LA ROCA DEL VALLÈS A;Roca del Vallès, la;La Roca del Vallès;La Roca del Vallès
CAMP DE FUTBOL COL·LEGI VIARÓ;VIARÓ, C.E. A;Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells);Sant Cugat del Vallès;Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells
CAMP DE FUTBOL COL·LEGI XALOC;BALANDRAU, ASSOCIACIÓ CULTURAL  A;Hospitalet de Llobregat 26 (Santa Eulàlia - Centre Sud - Ciutat de la Justícia), l';Hospitalet de Llobregat;Santa Eulàlia - Centre Sud - Ciutat de la Justícia
CAMP DE FUTBOL MPAL. DE MONTBRIÓ DEL CAMP;MONTBRIO, C.E. A;Montbrió del Camp;Montbrió del Camp;Montbrió del Camp
No especificado;OAR VIC A;Vic;Vic;Vic
CAMP DE FUTBOL MPAL. RAMON ESPASA;ESCOLA COMARCAL F. LES GARRIGUES A;Borges Blanques, les;Les Borges Blanques;Les Borges Blanques
CAMP DE FUTBOL ZEM DE RIPOLL (1);ESCOLA FUTBOL DEL RIPOLLES A.E A;Ripoll;Ripoll;Ripoll
CAMP DE FUTBOL COL·LEGI SALESIANS D´HORTA;SALESIANS BOSCO-HORTA CE. A;Barcelona 124 (Sant Joan d'Horta);Barcelona;Sant Joan d'Horta
CAMP DE FUTBOL ESCOLA PIA DE SARRIÀ;ESCOLA PIA SARRIÀ S.E. B;Sarrià de Ter;Sarrià de Ter;Sarrià de Ter
No especificado;MANLLEU, A.E.C. A;Manlleu;Manlleu;Manlleu
CAMP DE FUTBOL MPAL. DE CIRERA;CIRERA, U.D. A;Mataró 9 (Cirera);Mataró;Cirera
CAMP DE FUTBOL MPAL. XEVI RAMON;FUNDACIO  UNIÓ ESPORTIVA VILASSAR  B;Sant Ramon;Sant Ramon;Sant Ramon
CAMP DE FUTBOL MPAL. DE LES MALLORQUINES;SILS, C.F. A;Sils;Sils;Sils
CAMP DE FUTBOL MPAL. DISTRICTE 5È;MAS IGLESIAS DE REUS CE. A;Mas de Barberans;Mas de Barberans;Mas de Barberans
CAMP DE FUTBOL MPAL. DE SANT PAU D´ORDAL;SUBIRATS UNIO ESPORTIVA A;Sant Pau de Segúries;Sant Pau de Segúries;Sant Pau de Segúries
CAMP DE FUTBOL MPAL. DE SOLSONA;FUTBOL BASE SOLSONA ARRELS A;Solsona;Solsona;Solsona
CAMP DE FUTBOL ZEM DE TORROELLA DE MONTGRÍ;ESCOLA F. BAIX TER, C.E A;Baix Pallars;Baix Pallars;Baix Pallars
CAMP DE FUTBOL ZEM EL DESPUJOL-VINYOLES;LA GLEVA, C.F. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. D'ALÀS I CERC;ENFAF CONSTRUCCIONS MODERNES ANDORRA A;Alàs i Cerc;Alàs i Cerc;Alàs i Cerc
CAMP DE FUTBOL MPAL. DE PUIGDÀLBER;PUIGDÀLBER, F.C. A;Puigdàlber;Puigdàlber;Puigdàlber
CAMP DE FUTBOL ZEM LES ESPLANES;LLANÇA, C.E. A;Llançà;Llançà;Llançà
CAMP DE FUTBOL MPAL. DE TOSSA DE MAR;TOSSA UNIO ESPORTIVA B;Tossa de Mar;Tossa de Mar;Tossa de Mar
CAMP DE FUTBOL UB ESPORTS;DIAGONAL CLUB ESP.;Barcelona 73 (Pedralbes, la Mercè i el Palau Reial);Barcelona;Pedralbes, la Mercè i el Palau Reial
CAMP DE FUTBOL INEF BARCELONA;Pª BARC. ANGUERA A;Barcelona;Barcelona;Barcelona
No especificado;MASNOU, C.D. A;Masnou, el;El Masnou;El Masnou
CAMP DE FUTBOL MPAL. OLÍMPIA;SABADELL F.C., C.E. B;Sabadell;Sabadell;Sabadell
CAMP DE FUTBOL MPAL. ELS PINS;BASE OLERDOLA, C.E. A;Olèrdola;Olèrdola;Olèrdola
No especificado;REMEI, F.C. A;Desconocido;Desconocido;Desconocido
CAMP DE FUTBOL MPAL. LA DEVESA;NAVÀS,C.E. A;Navàs;Navàs;Navàs
CAMP DE FUTBOL CEM CIUTAT MERIDIANA-TORRENT BOSC;UNIFICACIO CIUTAT MERIDIANA,CE A;Barcelona 146 (Torre Baró, Ciutat Meridiana i Vallbona);Barcelona;Torre Baró, Ciutat Meridiana i Vallbona
CAMP DE FUTBOL MPAL. DE SANT PERE DE TORELLÓ;SANTPERENCA U.E. A;Sant Pere de Ribes;Sant Pere de Ribes;Sant Pere de Ribes
